Starting command dump from offset 0xe0
0x00000449: 0x0000044a: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x0000044d: 0x0000044e: 0xbc (WS Write) - Port: 0x4, Val: 0xfd
0x00000451: 0xbc (WS Write) - Port: 0x5, Val: 0x6
0x00000454: 0x00000455: 0xbc (WS Write) - Port: 0xc, Val: 0x0
0x00000458: 0x00000459: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x0000045c: 0x0000045d: 0xc6 (RAM Write) - Addr: 0xb000, Val: 0xff
0x00000461: 0xc6 (RAM Write) - Addr: 0xb100, Val: 0xff
0x00000465: 0xc6 (RAM Write) - Addr: 0xb200, Val: 0xff
0x00000469: 0xc6 (RAM Write) - Addr: 0xb300, Val: 0xff
0x0000046d: 0xc6 (RAM Write) - Addr: 0xb400, Val: 0xff
0x00000471: 0xc6 (RAM Write) - Addr: 0xb500, Val: 0xff
0x00000475: 0xc6 (RAM Write) - Addr: 0xb600, Val: 0xff
0x00000479: 0xc6 (RAM Write) - Addr: 0xb700, Val: 0xff
0x0000047d: 0xc6 (RAM Write) - Addr: 0xb800, Val: 0x0
0x00000481: 0xc6 (RAM Write) - Addr: 0xb900, Val: 0x0
0x00000485: 0xc6 (RAM Write) - Addr: 0xba00, Val: 0x0
0x00000489: 0xc6 (RAM Write) - Addr: 0xbb00, Val: 0x0
0x0000048d: 0xc6 (RAM Write) - Addr: 0xbc00, Val: 0x0
0x00000491: 0xc6 (RAM Write) - Addr: 0xbd00, Val: 0x0
0x00000495: 0xc6 (RAM Write) - Addr: 0xbe00, Val: 0x0
0x00000499: 0xc6 (RAM Write) - Addr: 0xbf00, Val: 0x0
0x0000049d: 0x0000049e: 0xbc (WS Write) - Port: 0x6, Val: 0x7b
0x000004a1: 0xbc (WS Write) - Port: 0x7, Val: 0x6
0x000004a4: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x000004a7: 0x000004a8: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000004ab: 0x000004ae: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x000004b1: 0x000004b2: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000004b5: 0x000004b6: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x000004b9: 0x000004ba: 0xbc (WS Write) - Port: 0xb, Val: 0x31
0x000004bd: 0x000004be: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000004c1: 0x000004c4: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x000004c7: 0x000004c8: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000004cb: 0x000004cc: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x000004cf: 0x000004d0: 0xbc (WS Write) - Port: 0xb, Val: 0x31
0x000004d3: 0x000004d4: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000004d7: 0x000004da: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x000004dd: 0x000004de: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000004e1: 0x000004e2: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x000004e5: 0x000004e6: 0xbc (WS Write) - Port: 0xb, Val: 0x31
0x000004e9: 0x000004ea: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000004ed: 0x000004f0: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x000004f3: 0x000004f4: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000004f7: 0x000004f8: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x000004fb: 0x000004fc: 0xbc (WS Write) - Port: 0xb, Val: 0x31
0x000004ff: 0x00000500: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00000503: 0x00000506: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x00000509: 0x0000050a: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x0000050d: 0x0000050e: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00000511: 0x00000512: 0xbc (WS Write) - Port: 0xb, Val: 0x31
0x00000515: 0x00000516: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00000519: 0x0000051c: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x0000051f: 0x00000520: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00000523: 0x00000524: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00000527: 0x00000528: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x0000052b: 0x0000052c: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000052f: 0x00000532: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00000535: 0x00000536: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00000539: 0x0000053a: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x0000053d: 0x0000053e: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00000541: 0x00000542: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00000545: 0x00000548: 0xbc (WS Write) - Port: 0x8, Val: 0x77
